dataset,algorithm,refill_level,subset_id,refill_ids_used,seed,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,distinct_refill_stations_used,computation_time,feasible
Dataset B,Hybrid,50%,2,52;53;54;57;61;63;64;65;68;69;73;74,21,1655.2,1573.62,319.59,3.38,5,49,8,4.597,True
Dataset B,Hybrid,50%,2,52;53;54;57;61;63;64;65;68;69;73;74,28,1651.9,1576.45,325.46,11.27,5,50,8,4.459,True
Dataset B,Hybrid,50%,2,52;53;54;57;61;63;64;65;68;69;73;74,35,1643.7,1546.63,340.26,16.03,5,50,8,4.46,True
Dataset B,Hybrid,50%,3,53;55;61;62;65;66;68;70;71;73;75;76,7,1713.3,1631.17,337.99,8.29,5,49,8,4.61,True
Dataset B,Hybrid,50%,3,53;55;61;62;65;66;68;70;71;73;75;76,14,1705.8,1606.92,334.1,8.65,5,49,8,4.541,True
Dataset B,Hybrid,50%,3,53;55;61;62;65;66;68;70;71;73;75;76,21,1703.4,1654.37,354.46,15.65,5,51,8,4.355,True
Dataset B,Hybrid,50%,3,53;55;61;62;65;66;68;70;71;73;75;76,28,1713.6,1648.41,338.7,11.35,5,51,9,4.608,True
Dataset B,Hybrid,50%,3,53;55;61;62;65;66;68;70;71;73;75;76,35,1710.6,1671.53,343.98,5.42,5,50,8,4.619,True
Dataset B,Hybrid,50%,4,53;54;58;60;65;66;71;72;73;74;75;76,7,1705.8,1604.64,338.42,11.49,5,50,8,4.53,True
Dataset B,Hybrid,50%,4,53;54;58;60;65;66;71;72;73;74;75;76,14,1708.7,1608.86,345.15,18.05,5,49,7,4.423,True
Dataset B,Hybrid,50%,4,53;54;58;60;65;66;71;72;73;74;75;76,21,1723.3,1645.78,341.24,6.2,5,50,7,4.239,True
Dataset B,Hybrid,50%,4,53;54;58;60;65;66;71;72;73;74;75;76,28,1703.6,1632.74,337.6,11.05,5,50,8,4.578,True
Dataset B,Hybrid,50%,4,53;54;58;60;65;66;71;72;73;74;75;76,35,1700.6,1617.1,336.14,11.01,5,49,8,4.409,True
Dataset B,Hybrid,50%,5,57;58;60;62;63;65;66;69;72;73;74;76,7,1686.5,1587.4,338.12,11.04,5,49,7,4.575,True
Dataset B,Hybrid,50%,5,57;58;60;62;63;65;66;69;72;73;74;76,14,1687.2,1586.23,333.38,10.12,5,50,7,4.446,True
Dataset B,Hybrid,50%,5,57;58;60;62;63;65;66;69;72;73;74;76,21,1691.7,1596.74,325.09,4.22,5,50,7,4.453,True
Dataset B,Hybrid,50%,5,57;58;60;62;63;65;66;69;72;73;74;76,28,1689.6,1593.52,335.66,13.73,5,49,6,4.453,True
Dataset B,Hybrid,50%,5,57;58;60;62;63;65;66;69;72;73;74;76,35,1685.4,1653.54,337.74,7.54,5,50,7,4.541,True
Dataset B,Hybrid,25%,1,52;54;64;68;71;72,7,1748.0,1658.88,351.74,10.61,5,50,4,3.566,True
Dataset B,Hybrid,25%,1,52;54;64;68;71;72,14,1747.8,1646.36,352.78,13.99,5,50,5,3.727,True
Dataset B,Hybrid,25%,1,52;54;64;68;71;72,21,1733.8,1690.89,357.39,16.5,5,50,5,3.869,True
Dataset B,Hybrid,25%,1,52;54;64;68;71;72,28,1742.6,1643.94,348.99,16.2,5,49,5,3.616,True
Dataset B,Hybrid,25%,1,52;54;64;68;71;72,35,1745.1,1650.5,346.16,12.86,5,49,5,3.687,True
Dataset B,Hybrid,25%,2,52;53;62;66;67;68,7,1749.7,1711.83,353.43,15.26,5,51,5,3.661,True
Dataset B,Hybrid,25%,2,52;53;62;66;67;68,14,1742.4,1650.08,345.43,10.93,5,50,5,3.685,True
Dataset B,Hybrid,25%,2,52;53;62;66;67;68,21,1746.2,1646.59,350.28,15.6,5,49,5,3.712,True
Dataset B,Hybrid,25%,2,52;53;62;66;67;68,28,1734.0,1635.21,338.79,8.17,5,49,5,3.542,True
Dataset B,Hybrid,25%,2,52;53;62;66;67;68,35,1753.7,1652.71,347.87,10.25,5,50,5,3.617,True
Dataset B,Hybrid,25%,3,52;61;62;64;66;69,7,1713.0,1614.22,330.66,8.18,5,49,5,3.715,True
Dataset B,Hybrid,25%,3,52;61;62;64;66;69,14,1705.0,1605.69,337.26,12.67,5,49,5,3.898,True
Dataset B,Hybrid,25%,3,52;61;62;64;66;69,21,1695.8,1683.58,357.43,15.07,5,52,5,3.802,True
Dataset B,Hybrid,25%,3,52;61;62;64;66;69,28,1718.4,1619.02,336.99,14.18,5,49,5,3.812,True
Dataset B,Hybrid,25%,3,52;61;62;64;66;69,35,1716.6,1645.21,345.09,14.65,5,50,5,3.763,True
Dataset B,Hybrid,25%,4,55;63;66;67;74;75,7,1698.1,1600.96,334.23,11.09,5,48,5,3.583,True
Dataset B,Hybrid,25%,4,55;63;66;67;74;75,14,1707.1,1645.91,342.88,10.52,5,50,6,3.548,True
Dataset B,Hybrid,25%,4,55;63;66;67;74;75,21,1701.6,1601.96,340.56,16.11,5,49,5,3.693,True
Dataset B,Hybrid,25%,4,55;63;66;67;74;75,28,1693.7,1594.38,340.45,13.22,5,49,6,3.527,True
Dataset B,Hybrid,25%,4,55;63;66;67;74;75,35,1687.2,1656.32,341.24,7.21,5,52,6,3.547,True
Dataset B,Hybrid,25%,5,55;56;61;62;66;73,7,1673.1,1581.28,331.9,10.77,5,50,6,3.743,True
Dataset B,Hybrid,25%,5,55;56;61;62;66;73,14,1675.9,1576.85,334.97,10.8,5,49,6,3.596,True
Dataset B,Hybrid,25%,5,55;56;61;62;66;73,21,1673.9,1620.27,339.27,10.21,5,50,6,3.686,True
Dataset B,Hybrid,25%,5,55;56;61;62;66;73,28,1686.0,1595.63,338.41,9.71,5,49,6,3.75,True
Dataset B,Hybrid,25%,5,55;56;61;62;66;73,35,1689.2,1616.77,340.43,13.01,5,49,6,3.554,True
